"SEN","18/02/2026","12","1182.3364","5815.0861","25.1903","963.0949","22164.3166","345.6562","354.0637","3058.3083","1433.0541","2635.4028","1019.0169"
"SEN","18/02/2026","13","1209.8573","5758.2459","21.7331","1054.958","22794.3675","331.7519","353.7341","2577.3279","1428.9662","2720.7575","980.3811"
"SEN","18/02/2026","14","1081.1563","5590.8529","25.4919","1101.7633","23867.8871","331.3525","353.0778","2349.4484","1418.9027","2761.8964","952.7583"
"SEN","18/02/2026","15","995.4574","5382.2143","25.5504","1266.9748","24155.301","339.0397","349.8385","2766.3097","1410.0142","2774.3201","956.9381"
"SEN","18/02/2026","16","1109.0102","5645.9466","24.7472","1407.719","24348.2728","357.0804","347.246","2824.7061","1397.7791","2821.4689","1186.8784"
"SEN","18/02/2026","17","1485.3953","5293.8713","20.2817","1483.739","24435.8435","393.9291","352.4835","3197.1673","1387.4804","2949.5739","1340.4315"
"SEN","18/02/2026","18","1825.7642","3454.1617","24.9921","1498.1206","24735.2809","418.7152","354.5595","4266.9863","1378.8663","3061.2273","1560.118"
"SEN","18/02/2026","19","2171.7624","614.4852","22.0046","1497.9267","25509.0878","483.9101","354.7143","5965.9877","1372.6048","3170.5346","1688.6233"
"SEN","18/02/2026","20","2412.0061","28.0003","24.6735","1478.6527","26215.4568","270.737","356.5298","7038.2221","1367.7548","3184.5453","1653.4552"
"SEN","18/02/2026","21","2502.4312","21.357","24.7602","1200.5377","26287.2101","272.2295","358.6158","7148.769","1365.5752","3168.588","1594.0026"
"SEN","18/02/2026","22","2616.9017","9.5886","24.4593","1023.5856","26483.0439","273.7037","358.5715","5955.3979","1363.9434","3156.0889","1582.9453"
"SEN","18/02/2026","23","2793.7521","4.3734","22.9986","1005.5049","25864.5479","293.9006","360.4166","5361.6207","1363.0878","3126.1826","1332.1278"
"SEN","18/02/2026","24","2809.2188","4.1633","24.2513","1004.9946","24614.7685","387.2584","360.608","4582.0187","1361.5366","3075.4676","1207.0258"
"SEN","19/02/2026","1","2725.5421","0.2708","22.1784","1003.3397","24358.6392","400.4164","363.9561","3218.1787","1361.1651","3064.0488","1120.2441"
"SEN","19/02/2026","2","2591.1337","0.1154","19.5189","1003.1282","24268.5397","266.231","364.3323","2120.2528","1361.1577","3019.4476","1082.64"
"SEN","19/02/2026","3","2609.106","0.621","21.0515","1003.6686","24088.194","259.4143","364.9109","1674.2649","1360.6444","3004.6923","1057.102"
